Month   Interest  Principal  Remaining
    1     208.33    3345.78   46654.22
    2     194.39    3359.72   43294.51
    3     180.39    3373.72   39920.79
    4     166.34    3387.77   36533.02
    5     152.22    3401.89   33131.13
    6     138.05    3416.06   29715.06
    7     123.81    3430.30   26284.77
    8     109.52    3444.59   22840.18
    9      95.17    3458.94   19381.23
   10      80.76    3473.35   15907.88
   11      66.28    3487.83   12420.05
   12      51.75    3502.36    8917.69
   13      37.16    3516.95    5400.74
   14      22.50    3531.61    1869.13
   15       7.79    3546.32   -1677.19
